CMDLINE /anaconda/bin/python csnn_pc_mnist.py
MEM 0.144531 1498112223.4313
MEM 12.917969 1498112223.5495
MEM 24.964844 1498112223.6620
MEM 31.039062 1498112223.7796
MEM 40.437500 1498112223.8979
MEM 50.363281 1498112224.0162
MEM 60.867188 1498112224.1321
MEM 73.472656 1498112224.2499
MEM 83.851562 1498112224.3664
MEM 89.218750 1498112224.4834
MEM 91.378906 1498112224.6021
MEM 98.628906 1498112224.7189
MEM 109.042969 1498112224.8320
MEM 121.832031 1498112224.9418
MEM 124.652344 1498112225.0515
MEM 125.050781 1498112225.1654
MEM 128.871094 1498112225.2774
MEM 130.371094 1498112225.3887
MEM 131.937500 1498112225.5026
MEM 133.351562 1498112225.6118
MEM 134.773438 1498112225.7216
MEM 136.335938 1498112225.8364
MEM 137.875000 1498112225.9508
MEM 139.347656 1498112226.0625
MEM 140.785156 1498112226.1721
MEM 142.289062 1498112226.2860
MEM 143.757812 1498112226.4003
MEM 145.292969 1498112226.5149
MEM 146.839844 1498112226.6287
MEM 148.332031 1498112226.7426
MEM 149.839844 1498112226.8568
MEM 151.316406 1498112226.9669
MEM 152.796875 1498112227.0764
MEM 154.281250 1498112227.1886
MEM 155.816406 1498112227.3030
MEM 157.324219 1498112227.4176
MEM 158.746094 1498112227.5315
MEM 160.277344 1498112227.6454
MEM 161.804688 1498112227.7591
MEM 163.261719 1498112227.8701
MEM 164.781250 1498112227.9818
MEM 166.343750 1498112228.0960
MEM 167.917969 1498112228.2099
MEM 169.363281 1498112228.3212
MEM 170.863281 1498112228.4327
MEM 172.406250 1498112228.5466
MEM 173.875000 1498112228.6568
MEM 175.332031 1498112228.7674
MEM 176.816406 1498112228.8801
MEM 178.324219 1498112228.9893
MEM 179.800781 1498112229.1023
MEM 181.386719 1498112229.2163
MEM 182.851562 1498112229.3271
MEM 184.363281 1498112229.4406
MEM 185.804688 1498112229.5514
MEM 187.351562 1498112229.6659
MEM 188.867188 1498112229.7784
MEM 190.406250 1498112229.8904
MEM 191.949219 1498112230.0051
MEM 193.464844 1498112230.1190
MEM 195.031250 1498112230.2336
MEM 196.476562 1498112230.3474
MEM 198.042969 1498112230.4612
MEM 199.574219 1498112230.5748
MEM 201.101562 1498112230.6889
MEM 202.593750 1498112230.8026
MEM 204.046875 1498112230.9123
MEM 205.617188 1498112231.0266
MEM 207.035156 1498112231.1368
MEM 208.519531 1498112231.2469
MEM 209.980469 1498112231.3580
MEM 211.546875 1498112231.4711
MEM 213.121094 1498112231.5850
MEM 214.656250 1498112231.6988
MEM 216.156250 1498112231.8108
MEM 217.664062 1498112231.9199
MEM 219.187500 1498112232.0334
MEM 220.738281 1498112232.1446
MEM 222.210938 1498112232.2542
MEM 223.671875 1498112232.3658
MEM 225.164062 1498112232.4758
MEM 226.714844 1498112232.5901
MEM 228.191406 1498112232.7030
MEM 229.675781 1498112232.8122
MEM 231.175781 1498112232.9263
MEM 232.699219 1498112233.0422
MEM 234.230469 1498112233.1555
MEM 235.750000 1498112233.2653
MEM 237.179688 1498112233.3746
MEM 238.742188 1498112233.4887
MEM 240.250000 1498112233.6031
MEM 241.773438 1498112233.7172
MEM 243.281250 1498112233.8314
MEM 244.785156 1498112233.9433
MEM 246.238281 1498112234.0551
MEM 247.757812 1498112234.1689
MEM 249.171875 1498112234.2786
MEM 250.699219 1498112234.3919
MEM 252.187500 1498112234.5054
MEM 253.683594 1498112234.6191
MEM 255.179688 1498112234.7316
MEM 256.656250 1498112234.8413
MEM 258.128906 1498112234.9506
MEM 259.656250 1498112235.0649
MEM 261.218750 1498112235.1787
MEM 262.746094 1498112235.2925
MEM 264.304688 1498112235.4063
MEM 265.734375 1498112235.5192
MEM 267.167969 1498112235.6289
MEM 268.667969 1498112235.7405
MEM 270.222656 1498112235.8552
MEM 271.820312 1498112235.9690
MEM 273.328125 1498112236.0802
MEM 274.859375 1498112236.1901
MEM 276.441406 1498112236.3041
MEM 278.031250 1498112236.4180
MEM 279.613281 1498112236.5319
MEM 281.171875 1498112236.6442
MEM 282.718750 1498112236.7551
MEM 284.253906 1498112236.8683
MEM 285.785156 1498112236.9782
