"Network","All","Most-spiked per patch","Most-spiked overall","Correlation clustering"
"_10000_none_8_4_50_36_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",76.94,72.73,70.51,78.71
"_10000_pairs_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",60.99,61.68,60.41,60.47
"_10000_pairs_26_1_50_9_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",67.06,66.25,65.59,65.41
"_10000_all_12_4_50_25_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",79.52,76.72,76.35,78.26
"_10000_all_14_2_50_64_weight_dependence_postpre_weight_sharing_8_0.0.npy",60.63,68.45,72.2,64.05
"_10000_all_16_4_100_16_weight_dependence_postpre_weight_sharing_4_0.0.npy",65.78,71.97,74.18,74.77
"_10000_all_12_4_50_25_weight_dependence_postpre_weight_sharing_4_0.0.npy",61.38,64.36,68.58,67.93
"_10000_none_27_1_100_4_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",74.62,73.64,71.36,69.38
"_10000_pairs_16_4_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",80,78.68,77.79,78.73
"_10000_all_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",64.06,65.08,63.42,65.59
"_10000_none_14_2_50_64_weight_dependence_postpre_weight_sharing_8_0.0.npy",64.31,66.79,69.19,63.31
"_10000_none_22_2_50_16_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",72.81,73.25,70.64,68.63
"_10000_pairs_20_2_50_25_weight_dependence_postpre_weight_sharing_8_0.0.npy",60.73,68.87,68.66,67.04
"_10000_none_12_4_50_25_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",63.09,58.25,62.68,70.86
"_10000_none_8_2_50_121_weight_dependence_postpre_weight_sharing_8_0.0.npy",63.13,61.07,67.97,45.35
"_10000_pairs_22_2_50_16_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",73.29,73.1,71.9,70.9
"_10000_pairs_10_6_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",74.57,71.51,70.36,74.52
"_10000_pairs_8_2_50_121_weight_dependence_postpre_weight_sharing_8_0.0.npy",58.63,60.21,65.66,37.56
"_10000_all_18_2_50_36_weight_dependence_postpre_weight_sharing_8_0.0.npy",57.98,64.53,68.72,64.74
"_10000_pairs_8_2_50_121_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",80.79,77.21,75.22,79.24
"_10000_all_18_2_50_36_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",76.25,75.85,73.75,73.49
"_10000_pairs_12_4_50_25_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",81.28,78.16,77.73,80.35
"_10000_pairs_26_1_50_9_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",69.63,69.45,68.48,67.07
"_10000_none_10_6_100_16_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",56.61,57.52,65.32,73.81
"_10000_pairs_18_2_50_36_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",78.89,78.77,76.33,77.66
"_10000_none_20_2_50_25_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",75.82,76.22,74.38,73.88
"_10000_pairs_10_2_50_100_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",82.95,79.44,78.39,80.37
"_10000_pairs_18_2_50_36_weight_dependence_postpre_weight_sharing_8_0.0.npy",57.21,66.19,69.85,63.35
"_10000_none_27_1_100_4_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",71.93,71.1,70.73,68.98
"_10000_pairs_24_2_50_9_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",68.77,68.73,67.97,67.43
"_10000_all_14_2_50_64_weight_dependence_postpre_weight_sharing_4_0.0.npy",65.48,69.47,70.49,64.01
"_10000_all_16_4_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",79.23,78,75.74,77.28
"_10000_all_22_2_50_16_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",68.57,68.58,66.6,64.62
"_10000_none_20_2_50_25_weight_dependence_postpre_weight_sharing_8_0.0.npy",61,68.28,70.22,69.03
"_10000_pairs_22_2_50_16_weight_dependence_postpre_weight_sharing_8_0.0.npy",65.93,66.91,67.32,70.27
"_10000_all_24_2_50_9_weight_dependence_postpre_weight_sharing_8_0.0.npy",67.7,68.65,69.9,72.33
"_10000_none_16_4_100_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",87.65,87.17,86.19,85.89
"_10000_pairs_14_2_50_64_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",84.18,83.19,82.02,81.17
"_10000_all_10_2_50_100_weight_dependence_postpre_weight_sharing_8_0.0.npy",66.78,66.82,69.32,51.51
"_10000_none_26_2_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",65.42,63.53,64.31,62.51
"_10000_all_10_2_50_100_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",79.75,76.42,74.11,75.7
"_10000_none_10_2_50_100_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",82.58,79.68,78.16,80.03
"_10000_all_16_2_50_49_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",76.62,76.12,73.64,75.52
"_10000_pairs_20_2_50_25_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",75.13,75.95,73.75,73.15
"_10000_none_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",64.36,64.71,62.23,60.79
"_10000_all_10_6_100_16_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",56.02,59.78,66.58,74.78
"_10000_none_12_2_50_81_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",83.56,81.18,80.5,81.2
"_10000_pairs_27_1_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",54.34,58.47,58.38,58.06
"_10000_none_26_1_50_9_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",63.72,63.37,65.97,60.09
"_10000_none_14_2_50_64_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",83.94,82.39,81.76,81.33
"_10000_all_26_1_50_9_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",65.77,64.83,64.13,63
"_10000_all_8_2_50_121_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",68.64,70.83,69.43,75.04
"_10000_none_16_2_50_49_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",80.02,79.39,76.82,78.75
"_10000_pairs_12_2_50_81_weight_dependence_postpre_weight_sharing_8_0.0.npy",63.05,67.6,72.07,49.24
"_10000_all_8_4_50_36_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",75.59,72.65,69.67,77.21
"_10000_all_16_2_50_49_weight_dependence_postpre_weight_sharing_8_0.0.npy",57.52,66.04,66.08,60.39
"_10000_pairs_24_2_50_9_weight_dependence_postpre_weight_sharing_8_0.0.npy",63.82,67.35,67.23,68.47
"_10000_none_26_1_50_9_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",68.79,67.86,65.95,66.15
"_10000_none_26_1_50_9_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",67.56,67.47,67.16,66.54
"_10000_none_22_2_50_16_weight_dependence_postpre_weight_sharing_8_0.0.npy",63.84,66.9,69.22,72.9
"_10000_all_24_2_50_9_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",67.65,67.46,67.72,63.02
"_10000_all_8_4_50_36_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",75.84,72.87,70.58,77.79
"_10000_none_16_2_50_49_weight_dependence_postpre_weight_sharing_8_0.0.npy",59.27,66.36,67.76,62.69
"_10000_all_27_1_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",53.06,56.42,55.02,57.22
"_10000_pairs_26_2_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",66.98,66.73,67.64,67.63
"_10000_all_18_2_50_36_weight_dependence_postpre_weight_sharing_4_0.0.npy",56.31,68.12,70.38,66.27
"_10000_pairs_16_4_100_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",87.2,86.61,85.72,85.72
"_10000_none_10_2_50_100_weight_dependence_postpre_weight_sharing_8_0.0.npy",66.86,68.99,72.5,54.53
"_10000_all_26_1_50_9_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",64.24,62.36,60.54,63.63
"_10000_pairs_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",63.62,63.57,62.93,62.94
"_10000_pairs_8_4_50_36_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",76.29,72.27,70,79.28
"_10000_none_14_2_50_64_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",84.18,82.86,82.04,80.83
"_10000_all_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",59.15,58.83,57.98,57.45
"_10000_all_10_6_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",74.77,70.88,69.81,74.12
"_10000_all_26_2_50_4_weight_dependence_postpre_weight_sharing_8_0.0.npy",65.33,63.96,66.21,67.08
"_10000_none_18_2_50_36_weight_dependence_postpre_weight_sharing_8_0.0.npy",56.15,66.35,67.4,63.49
"_10000_pairs_16_2_50_49_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",79.48,78.88,76.37,77.86
"_10000_none_12_2_50_81_weight_dependence_postpre_weight_sharing_8_0.0.npy",63.45,66.72,71.27,47.54
"_10000_pairs_16_2_50_49_weight_dependence_postpre_weight_sharing_8_0.0.npy",60.01,67.35,67.32,59.91
"_10000_all_12_2_50_81_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",80.85,77.99,77.46,76.1
"_10000_none_8_4_50_36_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",75.76,72.83,70.19,78.22
"_10000_none_24_2_50_9_no_weight_dependence_postpre_no_weight_sharing_8_0.0.npy",67.53,66.51,65.65,64.67
"_10000_none_10_6_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",74.95,71.57,69.91,75.46
"_10000_none_27_1_50_4_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",65.08,64.87,64.26,61.9
"_10000_pairs_14_2_50_64_weight_dependence_postpre_weight_sharing_8_0.0.npy",65.13,69.74,72.24,62.2
"_10000_all_8_4_50_36_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",51.67,51.76,61.59,61.08
"_10000_all_22_2_50_16_weight_dependence_postpre_weight_sharing_8_0.0.npy",64.91,69.68,69.11,70.11
"_10000_all_12_2_50_81_weight_dependence_postpre_weight_sharing_8_0.0.npy",67.24,69.51,71.45,59.97
"_10000_pairs_8_4_50_36_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",76.59,72.92,70.67,78.26
"_10000_none_16_4_50_16_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",80.43,79.79,77.64,79.35
"_10000_all_12_4_100_25_no_weight_dependence_postpre_weight_sharing_4_0.0.npy",63.13,69,71.86,71.69
"_10000_none_12_4_50_25_no_weight_dependence_postpre_no_weight_sharing_4_0.0.npy",82.02,78.59,78,79.08
