"Model","all","confidence_weighting","most_spiked_location","most_spiked_patch","top_percent"
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.0_30000_3_True_0.75",84.26,84.29,84.17,84.09,83.6
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_10.0_0.0_30000_2_True_0.75",83.91,83.95,83.82,83.99,82.41
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.0_30000_1_True_0.75",82.79,83.08,82.79,82.79,80.08
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_10.0_0.0_30000_3_True_0.75",82.66,82.02,82.65,82.53,79.88
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.1_30000_1_True_0.75",81.16,81.14,80.51,81.03,80.39
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.0_30000_3_True_0.75",81.02,81.38,80.68,80.63,80.33
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.0_30000_2_True_0.75",80.89,81.25,81.01,81,80.26
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_2_True_0.75",80.85,80.81,79.9,80.74,80.03
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.25_30000_2_True_0.75",80.5,81.07,79.74,80.76,79.99
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.1_30000_2_True_0.75",80.47,81.17,80.12,80.34,79.48
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.075_30000_1_True_0.75",80.44,80.22,78.12,80.23,79.82
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_2_True_0.75",80.39,80.12,78.74,80.28,79.04
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.0_30000_2_True_0.75",80.21,80.47,80.11,80.08,79.17
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.0_30000_1_True_0.75",80.07,80.25,79.97,80.21,80.15
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.1_30000_3_True_0.75",79.87,80.73,78.14,79.79,79.53
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.1_30000_3_True_0.75",79.78,80.12,79.08,79.5,78.71
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.1_30000_3_True_0.75",79.68,79.97,79.12,79.64,79.82
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_2_True_0.75",79.57,79.7,77.49,78.88,78.21
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.2_30000_2_True_0.75",79.57,79.83,78.12,79.6,79.45
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.5_30000_1_True_0.75",79.56,79.58,78.39,79.54,79.07
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_10.0_0.25_30000_3_True_0.75",79.34,80.06,77.98,79.82,79.24
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.0_30000_3_True_0.75",79.31,79.89,78.89,79.15,78.44
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.0_30000_2_True_0.75",79.27,79.36,79.16,79.08,78.59
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_3_True_0.75",79.23,79.13,77.94,78.66,77.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.05_30000_2_True_0.75",79.21,79.05,77.12,79.19,78.84
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.15_30000_1_True_0.75",79.07,79.31,77.51,79.15,78.28
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.5_30000_3_True_0.75",79.05,79.09,77.38,79.11,77.87
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.125_30000_3_True_0.75",79.04,78.3,75.46,78.83,78.36
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.05_30000_2_True_0.75",78.98,79.04,76.3,78.63,78.35
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.2_30000_1_True_0.75",78.91,79.13,77.54,78.94,78.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_2_True_0.75",78.91,78.93,77.44,78.69,77.68
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.05_30000_1_True_0.75",78.71,78.33,78.02,79,78.52
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.25_30000_1_True_0.75",78.71,78.78,77.9,78.77,78.3
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.1_30000_1_True_0.75",78.68,78.8,76.89,78.25,77.69
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.2_30000_3_True_0.75",78.68,78.95,76,78.35,77.2
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_5.0_0.5_30000_2_True_0.75",78.66,78.63,77.6,78.83,77.64
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.15_30000_2_True_0.75",78.63,78.87,76.16,79.02,78.58
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_1_True_0.75",78.62,79.21,77.82,78.59,77.92
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_1_True_0.75",78.58,79.09,77.29,78.4,78.01
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_2_True_0.75",78.46,78.1,77.87,78.56,77.63
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_3_True_0.75",78.38,78.38,77.27,78.31,77.49
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.25_30000_2_True_0.75",78.33,78.23,77.06,78.66,77.63
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.1_30000_3_True_0.75",78.3,78.37,77.4,77.6,76.79
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.0_30000_2_True_0.75",78.27,78.49,77.77,77.28,76.52
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_7.5_0.75_30000_3_True_0.75",78.26,77.83,76.25,78.09,76.91
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.05_30000_1_True_0.75",78.23,78.34,76.29,77.99,77.51
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.05_30000_1_True_0.75",78.22,78.38,77.25,78.11,77.63
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.75_0.05_30000_3_True_0.75",78.17,78.46,76.91,78.19,77.76
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_1_True_0.75",78.13,77.87,76.44,77.23,75.94
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.1_30000_2_True_0.75",78.08,78.01,77.59,77.79,76.94
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_2_True_0.75",78.07,78.32,75.39,78.09,77.65
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.0_30000_1_True_0.75",78.05,76.81,78.09,77.75,76.53
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_3.0_0.1_30000_2_True_0.75",78.03,77.88,76.53,77.37,76.16
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.5_0.1_30000_1_True_0.75",77.95,78.16,75.24,77.35,75.6
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.15_30000_2_True_0.75",77.92,77.69,76.44,77.41,75.89
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_2_True_0.75",77.91,78.05,76.8,77.82,77.25
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_10.0_0.75_30000_1_True_0.75",77.85,79.9,75.53,77.71,78.33
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.15_30000_1_True_0.75",77.81,77.85,76.31,77.56,77.2
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.05_30000_3_True_0.75",77.81,78.38,77.37,77.13,76.47
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.1_30000_3_True_0.75",77.8,77.77,76.71,77.5,76.95
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.125_30000_2_True_0.75",77.77,78.26,75.76,77.33,76.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.0_0.15_30000_2_True_0.75",77.76,77.95,76.15,77.32,75.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.0_30000_1_True_0.75",77.76,78.22,76.6,77.5,76.9
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_1.0_0.25_30000_1_True_0.75",77.73,78.45,75.05,77.21,75.73
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_0.5_0.2_30000_1_True_0.75",77.52,77.98,74.3,77.13,76.97
"none_28_0_400_1_False_0_1_2_3_4_5_6_7_8_9_1000_8_strengthen_2.5_0.25_30000_2_True_0.75",77.5,77.47,76.31,77.18,76.03
